Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
любимый_ADJ,-4.06,6e-05,1,27,28,0.09,fpi_lex_повествование.tsv
очень_ADV,-3.57,0.00039,5,39,44,0.61,fpi_lex_повествование.tsv
подруга_NOUN,-3.4,0.00075,0,15,15,1.2,fpi_lex_повествование.tsv
хороший_ADJ,-3.38,0.0008,3,27,30,1.27,fpi_lex_повествование.tsv
в_ADP,-3.16,0.00177,0,10,10,2.8,fpi_lex_описание.tsv
но_CCONJ,-3.12,0.00192,2,24,26,3.04,fpi_lex_повествование.tsv
очень_ADV,-2.95,0.00375,0,10,10,2.94,big5_lex_повествование.tsv
дорогой_ADJ,-2.9,0.00384,6,37,44,6.07,fpi_lex_повествование.tsv
будет_AUX,-2.88,0.00426,0,10,10,6.74,fpi_lex_повествование.tsv
милый_ADJ,-2.78,0.00575,0,10,10,9.1,fpi_lex_повествование.tsv
что_PRON,-2.65,0.00839,1,12,14,13.28,fpi_lex_повествование.tsv
я_PRON,-2.53,0.01165,17,79,98,18.45,fpi_lex_повествование.tsv
мы_PRON,-2.49,0.01298,3,19,22,20.55,fpi_lex_повествование.tsv
что_SCONJ,-2.36,0.01874,4,26,32,29.67,fpi_lex_повествование.tsv
давно_ADV,-2.27,0.02384,3,14,17,37.74,fpi_lex_повествование.tsv
рассказать_VERB,-2.27,0.02393,1,9,10,37.88,fpi_lex_повествование.tsv
из_ADP,-2.21,0.02773,2,12,14,43.89,fpi_lex_повествование.tsv
как_SCONJ,-2.18,0.03067,2,12,14,24.07,big5_lex_повествование.tsv
и_CCONJ,-2.15,0.03177,13,49,63,50.29,fpi_lex_повествование.tsv
